holiday,date,firstobs,firstproc
American Thanksgiving,1973-11-22,1621,1621
Black Friday,1973-11-23,1960,1960
St. Andrews Day,1973-11-30,732,732
Human Rights Day,1973-12-10,1950,1950
Winter Solstice,1973-12-22,-10000,-10000
Christmas Eve,1973-12-24,1,1
Christmas in UK and Canada,1973-12-25,1,1
Christmas in the USA,1973-12-25,1,1
Boxing Day in UK and Canada,1973-12-26,1,1
New Year’s Eve,1973-12-31,-154,-154
New Year’s Day,1974-01-01,-153,-153
Daylight Saving Time Start,1974-01-06,1916,1916
Robbie Burns Day aka Burns Nicht,1974-01-25,1759,1759
Australia Day,1974-01-26,1804,1804
Groundhog Day,1974-02-02,1841,1841
Valentine’s Day,1974-02-14,200,200
Presidents Day,1974-02-18,1971,1971
Alberta Family Day,1974-02-18,1900,1900
Mardi Gras,1974-02-26,1583,1583
Ash Wednesday,1974-02-27,1583,1583
St. Patrick’s day,1974-03-17,400,400
Vernal Equinox,1974-03-21,-10000,-10000
April Fools’ Day,1974-04-01,1564,1564
Palm Sunday,1974-04-07,1583,1583
Good Friday,1974-04-12,1583,1583
Easter Sunday,1974-04-14,30,30
Easter Monday,1974-04-15,1583,1583
Earth Day,1974-04-22,1970,1970
ANZAC Day,1974-04-25,1915,1915
Cinco de Mayo,1974-05-05,1809,1809
Europe Day,1974-05-09,1950,1950
Mother’s Day,1974-05-12,1907,1907
Armed Forces Day,1974-05-18,1936,1950
Victoria Day,1974-05-20,1837,1845
Memorial Day,1974-05-27,1868,1868
Australian Queen’s Birthday,1974-06-10,1953,1953
Father’s Day,1974-06-16,1910,1910
Summer Solstice,1974-06-21,-10000,-10000
St. Jean-Baptiste Day,1974-06-24,1638,1638
Canada Day,1974-07-01,1867,1867
Independence Day,1974-07-04,1776,1776
Utah Pioneer Day,1974-07-24,1847,1847
Canada Civic Day,1974-08-05,1970,1970
Canadian Labour Day,1974-09-02,1884,1884
American Labor Day,1974-09-02,1882,1882
Autumnal Equinox,1974-09-23,-10000,-10000
Canadian Thanksgiving,1974-10-14,1700,1700
Columbus Day,1974-10-14,1905,1905
Creationism Day,1974-10-23,-4004,-4004
Daylight Saving Time End,1974-10-27,1916,1916
Halloween,1974-10-31,-2000,-2000
General Election Day,1974-11-05,1789,1789
Remembrance Day,1974-11-11,1918,1931
Veterans Day,1974-11-11,1918,1938
American Thanksgiving,1974-11-28,1621,1621
Black Friday,1974-11-29,1960,1960
St. Andrews Day,1974-11-30,732,732
Human Rights Day,1974-12-10,1950,1950
Winter Solstice,1974-12-22,-10000,-10000
Christmas Eve,1974-12-24,1,1
Christmas in UK and Canada,1974-12-25,1,1
Christmas in the USA,1974-12-25,1,1
Boxing Day in UK and Canada,1974-12-26,1,1
New Year’s Eve,1974-12-31,-154,-154
New Year’s Day,1975-01-01,-153,-153
US Congressional Start Day,1975-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1975-01-25,1759,1759
Australia Day,1975-01-26,1804,1804
Groundhog Day,1975-02-02,1841,1841
Mardi Gras,1975-02-11,1583,1583
Ash Wednesday,1975-02-12,1583,1583
Valentine’s Day,1975-02-14,200,200
Presidents Day,1975-02-17,1971,1971
Alberta Family Day,1975-02-17,1900,1900
Daylight Saving Time Start,1975-02-23,1916,1916
St. Patrick’s day,1975-03-17,400,400
Vernal Equinox,1975-03-21,-10000,-10000
Palm Sunday,1975-03-23,1583,1583
Good Friday,1975-03-28,1583,1583
Easter Sunday,1975-03-30,30,30
Easter Monday,1975-03-31,1583,1583
April Fools’ Day,1975-04-01,1564,1564
Earth Day,1975-04-22,1970,1970
ANZAC Day,1975-04-25,1915,1915
Cinco de Mayo,1975-05-05,1809,1809
Europe Day,1975-05-09,1950,1950
Mother’s Day,1975-05-11,1907,1907
Armed Forces Day,1975-05-17,1936,1950
Victoria Day,1975-05-19,1837,1845
Memorial Day,1975-05-26,1868,1868
Australian Queen’s Birthday,1975-06-09,1953,1953
Father’s Day,1975-06-15,1910,1910
Summer Solstice,1975-06-22,-10000,-10000
St. Jean-Baptiste Day,1975-06-24,1638,1638
Canada Day,1975-07-01,1867,1867
Independence Day,1975-07-04,1776,1776
Utah Pioneer Day,1975-07-24,1847,1847
Canada Civic Day,1975-08-04,1970,1970
Canadian Labour Day,1975-09-01,1884,1884
American Labor Day,1975-09-01,1882,1882
Autumnal Equinox,1975-09-23,-10000,-10000
Canadian Thanksgiving,1975-10-13,1700,1700
Columbus Day,1975-10-13,1905,1905
Creationism Day,1975-10-23,-4004,-4004
Daylight Saving Time End,1975-10-26,1916,1916
Halloween,1975-10-31,-2000,-2000
Remembrance Day,1975-11-11,1918,1931
Veterans Day,1975-11-11,1918,1938
American Thanksgiving,1975-11-27,1621,1621
Black Friday,1975-11-28,1960,1960
St. Andrews Day,1975-11-30,732,732
Human Rights Day,1975-12-10,1950,1950
Winter Solstice,1975-12-22,-10000,-10000
Christmas Eve,1975-12-24,1,1
Christmas in UK and Canada,1975-12-25,1,1
Christmas in the USA,1975-12-25,1,1
Boxing Day in UK and Canada,1975-12-26,1,1
New Year’s Eve,1975-12-31,-154,-154
New Year’s Day,1976-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1976-01-25,1759,1759
Australia Day,1976-01-26,1804,1804
Groundhog Day,1976-02-02,1841,1841
Valentine’s Day,1976-02-14,200,200
Presidents Day,1976-02-16,1971,1971
Alberta Family Day,1976-02-16,1900,1900
Mardi Gras,1976-03-02,1583,1583
Ash Wednesday,1976-03-03,1583,1583
Commonwealth Day,1976-03-08,1976,1976
St. Patrick’s day,1976-03-17,400,400
Vernal Equinox,1976-03-20,-10000,-10000
April Fools’ Day,1976-04-01,1564,1564
Palm Sunday,1976-04-11,1583,1583
Good Friday,1976-04-16,1583,1583
Easter Sunday,1976-04-18,30,30
Easter Monday,1976-04-19,1583,1583
Earth Day,1976-04-22,1970,1970
Daylight Saving Time Start,1976-04-25,1916,1916
ANZAC Day,1976-04-25,1915,1915
Cinco de Mayo,1976-05-05,1809,1809
Europe Day,1976-05-09,1950,1950
Mother’s Day,1976-05-09,1907,1907
Armed Forces Day,1976-05-15,1936,1950
Victoria Day,1976-05-24,1837,1845
Memorial Day,1976-05-31,1868,1868
Australian Queen’s Birthday,1976-06-14,1953,1953
Father’s Day,1976-06-20,1910,1910
Summer Solstice,1976-06-21,-10000,-10000
St. Jean-Baptiste Day,1976-06-24,1638,1638
Canada Day,1976-07-01,1867,1867
Independence Day,1976-07-04,1776,1776
Utah Pioneer Day,1976-07-24,1847,1847
Canada Civic Day,1976-08-02,1970,1970
Canadian Labour Day,1976-09-06,1884,1884
American Labor Day,1976-09-06,1882,1882
Autumnal Equinox,1976-09-22,-10000,-10000
Canadian Thanksgiving,1976-10-11,1700,1700
Columbus Day,1976-10-11,1905,1905
Creationism Day,1976-10-23,-4004,-4004
Halloween,1976-10-31,-2000,-2000
Daylight Saving Time End,1976-10-31,1916,1916
General Election Day,1976-11-02,1789,1789
Remembrance Day,1976-11-11,1918,1931
Veterans Day,1976-11-11,1918,1938
American Thanksgiving,1976-11-25,1621,1621
Black Friday,1976-11-26,1960,1960
St. Andrews Day,1976-11-30,732,732
Human Rights Day,1976-12-10,1950,1950
Winter Solstice,1976-12-21,-10000,-10000
Christmas Eve,1976-12-24,1,1
Christmas in UK and Canada,1976-12-25,1,1
Christmas in the USA,1976-12-25,1,1
Boxing Day in UK and Canada,1976-12-26,1,1
New Year’s Eve,1976-12-31,-154,-154
New Year’s Day,1977-01-01,-153,-153
US Congressional Start Day,1977-01-03,1789,1789
US Presidential Inauguration Day,1977-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,1977-01-25,1759,1759
Australia Day,1977-01-26,1804,1804
Groundhog Day,1977-02-02,1841,1841
Valentine’s Day,1977-02-14,200,200
Presidents Day,1977-02-21,1971,1971
Alberta Family Day,1977-02-21,1900,1900
Mardi Gras,1977-02-22,1583,1583
Ash Wednesday,1977-02-23,1583,1583
Commonwealth Day,1977-03-14,1976,1976
St. Patrick’s day,1977-03-17,400,400
Vernal Equinox,1977-03-20,-10000,-10000
April Fools’ Day,1977-04-01,1564,1564
Palm Sunday,1977-04-03,1583,1583
Good Friday,1977-04-08,1583,1583
Easter Sunday,1977-04-10,30,30
Easter Monday,1977-04-11,1583,1583
Earth Day,1977-04-22,1970,1970
Daylight Saving Time Start,1977-04-24,1916,1916
ANZAC Day,1977-04-25,1915,1915
Cinco de Mayo,1977-05-05,1809,1809
Mother’s Day,1977-05-08,1907,1907
Europe Day,1977-05-09,1950,1950
Armed Forces Day,1977-05-21,1936,1950
Victoria Day,1977-05-23,1837,1845
Memorial Day,1977-05-30,1868,1868
Australian Queen’s Birthday,1977-06-13,1953,1953
Father’s Day,1977-06-19,1910,1910
Summer Solstice,1977-06-21,-10000,-10000
St. Jean-Baptiste Day,1977-06-24,1638,1638
Canada Day,1977-07-01,1867,1867
Independence Day,1977-07-04,1776,1776
Utah Pioneer Day,1977-07-24,1847,1847
Canada Civic Day,1977-08-01,1970,1970
Canadian Labour Day,1977-09-05,1884,1884
American Labor Day,1977-09-05,1882,1882
Autumnal Equinox,1977-09-23,-10000,-10000
Canadian Thanksgiving,1977-10-10,1700,1700
Columbus Day,1977-10-10,1905,1905
Creationism Day,1977-10-23,-4004,-4004
Daylight Saving Time End,1977-10-30,1916,1916
Halloween,1977-10-31,-2000,-2000
Remembrance Day,1977-11-11,1918,1931
Veterans Day,1977-11-11,1918,1938
American Thanksgiving,1977-11-24,1621,1621
Black Friday,1977-11-25,1960,1960
St. Andrews Day,1977-11-30,732,732
Human Rights Day,1977-12-10,1950,1950
Winter Solstice,1977-12-21,-10000,-10000
Christmas Eve,1977-12-24,1,1
Christmas in UK and Canada,1977-12-25,1,1
Christmas in the USA,1977-12-25,1,1
Boxing Day in UK and Canada,1977-12-26,1,1
New Year’s Eve,1977-12-31,-154,-154
New Year’s Day,1978-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1978-01-25,1759,1759
Australia Day,1978-01-26,1804,1804
Groundhog Day,1978-02-02,1841,1841
Mardi Gras,1978-02-07,1583,1583
Ash Wednesday,1978-02-08,1583,1583
Valentine’s Day,1978-02-14,200,200
Presidents Day,1978-02-20,1971,1971
Alberta Family Day,1978-02-20,1900,1900
Commonwealth Day,1978-03-13,1976,1976
St. Patrick’s day,1978-03-17,400,400
Palm Sunday,1978-03-19,1583,1583
Vernal Equinox,1978-03-20,-10000,-10000
Good Friday,1978-03-24,1583,1583
Easter Sunday,1978-03-26,30,30
Easter Monday,1978-03-27,1583,1583
April Fools’ Day,1978-04-01,1564,1564
Earth Day,1978-04-22,1970,1970
ANZAC Day,1978-04-25,1915,1915
Daylight Saving Time Start,1978-04-30,1916,1916
Cinco de Mayo,1978-05-05,1809,1809
Europe Day,1978-05-09,1950,1950
Mother’s Day,1978-05-14,1907,1907
Armed Forces Day,1978-05-20,1936,1950
Victoria Day,1978-05-22,1837,1845
Memorial Day,1978-05-29,1868,1868
Australian Queen’s Birthday,1978-06-12,1953,1953
Father’s Day,1978-06-18,1910,1910
Summer Solstice,1978-06-21,-10000,-10000
St. Jean-Baptiste Day,1978-06-24,1638,1638
Canada Day,1978-07-01,1867,1867
Independence Day,1978-07-04,1776,1776
Utah Pioneer Day,1978-07-24,1847,1847
Canada Civic Day,1978-08-07,1970,1970
Canadian Labour Day,1978-09-04,1884,1884
American Labor Day,1978-09-04,1882,1882
Grandparents Day,1978-09-11,1978,1978
Autumnal Equinox,1978-09-23,-10000,-10000
Canadian Thanksgiving,1978-10-09,1700,1700
Columbus Day,1978-10-09,1905,1905
Creationism Day,1978-10-23,-4004,-4004
Daylight Saving Time End,1978-10-29,1916,1916
Halloween,1978-10-31,-2000,-2000
General Election Day,1978-11-07,1789,1789
Remembrance Day,1978-11-11,1918,1931
Veterans Day,1978-11-11,1918,1938
American Thanksgiving,1978-11-23,1621,1621
Black Friday,1978-11-24,1960,1960
St. Andrews Day,1978-11-30,732,732
Human Rights Day,1978-12-10,1950,1950
Winter Solstice,1978-12-22,-10000,-10000
Christmas Eve,1978-12-24,1,1
Christmas in UK and Canada,1978-12-25,1,1
Christmas in the USA,1978-12-25,1,1
Boxing Day in UK and Canada,1978-12-26,1,1
New Year’s Eve,1978-12-31,-154,-154
New Year’s Day,1979-01-01,-153,-153
US Congressional Start Day,1979-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1979-01-25,1759,1759
Australia Day,1979-01-26,1804,1804
Groundhog Day,1979-02-02,1841,1841
Valentine’s Day,1979-02-14,200,200
Presidents Day,1979-02-19,1971,1971
Alberta Family Day,1979-02-19,1900,1900
Mardi Gras,1979-02-27,1583,1583
Ash Wednesday,1979-02-28,1583,1583
Commonwealth Day,1979-03-12,1976,1976
St. Patrick’s day,1979-03-17,400,400
Vernal Equinox,1979-03-21,-10000,-10000
April Fools’ Day,1979-04-01,1564,1564
Palm Sunday,1979-04-08,1583,1583
Good Friday,1979-04-13,1583,1583
Easter Sunday,1979-04-15,30,30
Easter Monday,1979-04-16,1583,1583
Earth Day,1979-04-22,1970,1970
ANZAC Day,1979-04-25,1915,1915
Daylight Saving Time Start,1979-04-29,1916,1916
Cinco de Mayo,1979-05-05,1809,1809
Europe Day,1979-05-09,1950,1950
Mother’s Day,1979-05-13,1907,1907
Armed Forces Day,1979-05-19,1936,1950
Victoria Day,1979-05-21,1837,1845
Memorial Day,1979-05-28,1868,1868
Australian Queen’s Birthday,1979-06-11,1953,1953
Father’s Day,1979-06-17,1910,1910
Summer Solstice,1979-06-21,-10000,-10000
St. Jean-Baptiste Day,1979-06-24,1638,1638
Canada Day,1979-07-02,1867,1867
Independence Day,1979-07-04,1776,1776
Utah Pioneer Day,1979-07-24,1847,1847
Canada Civic Day,1979-08-06,1970,1970
Canadian Labour Day,1979-09-03,1884,1884
American Labor Day,1979-09-03,1882,1882
Grandparents Day,1979-09-10,1978,1978
Autumnal Equinox,1979-09-23,-10000,-10000
Canadian Thanksgiving,1979-10-08,1700,1700
Columbus Day,1979-10-08,1905,1905
Creationism Day,1979-10-23,-4004,-4004
Daylight Saving Time End,1979-10-28,1916,1916
Halloween,1979-10-31,-2000,-2000
Remembrance Day,1979-11-11,1918,1931
Veterans Day,1979-11-11,1918,1938
American Thanksgiving,1979-11-22,1621,1621
Black Friday,1979-11-23,1960,1960
St. Andrews Day,1979-11-30,732,732
Human Rights Day,1979-12-10,1950,1950
Winter Solstice,1979-12-22,-10000,-10000
Christmas Eve,1979-12-24,1,1
Christmas in UK and Canada,1979-12-25,1,1
Christmas in the USA,1979-12-25,1,1
Boxing Day in UK and Canada,1979-12-26,1,1
New Year’s Eve,1979-12-31,-154,-154
New Year’s Day,1980-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1980-01-25,1759,1759
Australia Day,1980-01-26,1804,1804
Groundhog Day,1980-02-02,1841,1841
Valentine’s Day,1980-02-14,200,200
Presidents Day,1980-02-18,1971,1971
Alberta Family Day,1980-02-18,1900,1900
Mardi Gras,1980-02-19,1583,1583
Ash Wednesday,1980-02-20,1583,1583
Commonwealth Day,1980-03-10,1976,1976
St. Patrick’s day,1980-03-17,400,400
Vernal Equinox,1980-03-20,-10000,-10000
Palm Sunday,1980-03-30,1583,1583
April Fools’ Day,1980-04-01,1564,1564
Good Friday,1980-04-04,1583,1583
Easter Sunday,1980-04-06,30,30
Easter Monday,1980-04-07,1583,1583
Earth Day,1980-04-22,1970,1970
ANZAC Day,1980-04-25,1915,1915
Daylight Saving Time Start,1980-04-27,1916,1916
Cinco de Mayo,1980-05-05,1809,1809
Europe Day,1980-05-09,1950,1950
Mother’s Day,1980-05-11,1907,1907
Armed Forces Day,1980-05-17,1936,1950
Victoria Day,1980-05-19,1837,1845
Memorial Day,1980-05-26,1868,1868
Australian Queen’s Birthday,1980-06-09,1953,1953
Father’s Day,1980-06-15,1910,1910
Summer Solstice,1980-06-21,-10000,-10000
St. Jean-Baptiste Day,1980-06-24,1638,1638
Canada Day,1980-07-01,1867,1867
Independence Day,1980-07-04,1776,1776
Utah Pioneer Day,1980-07-24,1847,1847
Canada Civic Day,1980-08-04,1970,1970
Canadian Labour Day,1980-09-01,1884,1884
American Labor Day,1980-09-01,1882,1882
Grandparents Day,1980-09-08,1978,1978
Autumnal Equinox,1980-09-22,-10000,-10000
Canadian Thanksgiving,1980-10-13,1700,1700
Columbus Day,1980-10-13,1905,1905
Creationism Day,1980-10-23,-4004,-4004
Daylight Saving Time End,1980-10-26,1916,1916
Halloween,1980-10-31,-2000,-2000
General Election Day,1980-11-04,1789,1789
Remembrance Day,1980-11-11,1918,1931
Veterans Day,1980-11-11,1918,1938
American Thanksgiving,1980-11-27,1621,1621
Black Friday,1980-11-28,1960,1960
St. Andrews Day,1980-11-30,732,732
Human Rights Day,1980-12-10,1950,1950
Winter Solstice,1980-12-21,-10000,-10000
Christmas Eve,1980-12-24,1,1
Christmas in UK and Canada,1980-12-25,1,1
Christmas in the USA,1980-12-25,1,1
Boxing Day in UK and Canada,1980-12-26,1,1
New Year’s Eve,1980-12-31,-154,-154
New Year’s Day,1981-01-01,-153,-153
US Congressional Start Day,1981-01-03,1789,1789
US Presidential Inauguration Day,1981-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,1981-01-25,1759,1759
Australia Day,1981-01-26,1804,1804
Groundhog Day,1981-02-02,1841,1841
Valentine’s Day,1981-02-14,200,200
Presidents Day,1981-02-16,1971,1971
Alberta Family Day,1981-02-16,1900,1900
Mardi Gras,1981-03-03,1583,1583
Ash Wednesday,1981-03-04,1583,1583
Commonwealth Day,1981-03-09,1976,1976
St. Patrick’s day,1981-03-17,400,400
Vernal Equinox,1981-03-20,-10000,-10000
April Fools’ Day,1981-04-01,1564,1564
Palm Sunday,1981-04-12,1583,1583
Good Friday,1981-04-17,1583,1583
Easter Sunday,1981-04-19,30,30
Easter Monday,1981-04-20,1583,1583
Earth Day,1981-04-22,1970,1970
ANZAC Day,1981-04-25,1915,1915
Daylight Saving Time Start,1981-04-26,1916,1916
Cinco de Mayo,1981-05-05,1809,1809
Europe Day,1981-05-09,1950,1950
Mother’s Day,1981-05-10,1907,1907
Armed Forces Day,1981-05-16,1936,1950
Victoria Day,1981-05-18,1837,1845
Memorial Day,1981-05-25,1868,1868
Australian Queen’s Birthday,1981-06-08,1953,1953
Father’s Day,1981-06-21,1910,1910
Summer Solstice,1981-06-21,-10000,-10000
St. Jean-Baptiste Day,1981-06-24,1638,1638
Canada Day,1981-07-01,1867,1867
Independence Day,1981-07-04,1776,1776
Utah Pioneer Day,1981-07-24,1847,1847
Canada Civic Day,1981-08-03,1970,1970
Canadian Labour Day,1981-09-07,1884,1884
American Labor Day,1981-09-07,1882,1882
Grandparents Day,1981-09-14,1978,1978
Autumnal Equinox,1981-09-23,-10000,-10000
Canadian Thanksgiving,1981-10-12,1700,1700
Columbus Day,1981-10-12,1905,1905
Creationism Day,1981-10-23,-4004,-4004
Daylight Saving Time End,1981-10-25,1916,1916
Halloween,1981-10-31,-2000,-2000
Remembrance Day,1981-11-11,1918,1931
Veterans Day,1981-11-11,1918,1938
American Thanksgiving,1981-11-26,1621,1621
Black Friday,1981-11-27,1960,1960
St. Andrews Day,1981-11-30,732,732
Human Rights Day,1981-12-10,1950,1950
Winter Solstice,1981-12-21,-10000,-10000
Christmas Eve,1981-12-24,1,1
Christmas in UK and Canada,1981-12-25,1,1
Christmas in the USA,1981-12-25,1,1
Boxing Day in UK and Canada,1981-12-26,1,1
New Year’s Eve,1981-12-31,-154,-154
New Year’s Day,1982-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1982-01-25,1759,1759
Australia Day,1982-01-26,1804,1804
Groundhog Day,1982-02-02,1841,1841
Valentine’s Day,1982-02-14,200,200
Presidents Day,1982-02-15,1971,1971
Alberta Family Day,1982-02-15,1900,1900
Mardi Gras,1982-02-23,1583,1583
Ash Wednesday,1982-02-24,1583,1583
Commonwealth Day,1982-03-08,1976,1976
St. Patrick’s day,1982-03-17,400,400
Vernal Equinox,1982-03-20,-10000,-10000
April Fools’ Day,1982-04-01,1564,1564
Palm Sunday,1982-04-04,1583,1583
Good Friday,1982-04-09,1583,1583
Easter Sunday,1982-04-11,30,30
Easter Monday,1982-04-12,1583,1583
Earth Day,1982-04-22,1970,1970
Daylight Saving Time Start,1982-04-25,1916,1916
ANZAC Day,1982-04-25,1915,1915
Cinco de Mayo,1982-05-05,1809,1809
Europe Day,1982-05-09,1950,1950
Mother’s Day,1982-05-09,1907,1907
Armed Forces Day,1982-05-15,1936,1950
Victoria Day,1982-05-24,1837,1845
Memorial Day,1982-05-31,1868,1868
Australian Queen’s Birthday,1982-06-14,1953,1953
Father’s Day,1982-06-20,1910,1910
Summer Solstice,1982-06-21,-10000,-10000
St. Jean-Baptiste Day,1982-06-24,1638,1638
Canada Day,1982-07-01,1867,1867
Independence Day,1982-07-04,1776,1776
Utah Pioneer Day,1982-07-24,1847,1847
Canada Civic Day,1982-08-02,1970,1970
Canadian Labour Day,1982-09-06,1884,1884
American Labor Day,1982-09-06,1882,1882
Grandparents Day,1982-09-13,1978,1978
Autumnal Equinox,1982-09-23,-10000,-10000
Canadian Thanksgiving,1982-10-11,1700,1700
Columbus Day,1982-10-11,1905,1905
Creationism Day,1982-10-23,-4004,-4004
Halloween,1982-10-31,-2000,-2000
Daylight Saving Time End,1982-10-31,1916,1916
General Election Day,1982-11-02,1789,1789
Remembrance Day,1982-11-11,1918,1931
Veterans Day,1982-11-11,1918,1938
American Thanksgiving,1982-11-25,1621,1621
Black Friday,1982-11-26,1960,1960
St. Andrews Day,1982-11-30,732,732
Human Rights Day,1982-12-10,1950,1950
Winter Solstice,1982-12-22,-10000,-10000
Christmas Eve,1982-12-24,1,1
Christmas in UK and Canada,1982-12-25,1,1
Christmas in the USA,1982-12-25,1,1
Boxing Day in UK and Canada,1982-12-26,1,1
New Year’s Eve,1982-12-31,-154,-154
New Year’s Day,1983-01-01,-153,-153
US Congressional Start Day,1983-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1983-01-25,1759,1759
Australia Day,1983-01-26,1804,1804
Groundhog Day,1983-02-02,1841,1841
Valentine’s Day,1983-02-14,200,200
Mardi Gras,1983-02-15,1583,1583
Ash Wednesday,1983-02-16,1583,1583
Presidents Day,1983-02-21,1971,1971
Alberta Family Day,1983-02-21,1900,1900
Commonwealth Day,1983-03-14,1976,1976
St. Patrick’s day,1983-03-17,400,400
Vernal Equinox,1983-03-21,-10000,-10000
Palm Sunday,1983-03-27,1583,1583
Good Friday,1983-04-01,1583,1583
April Fools’ Day,1983-04-01,1564,1564
Easter Sunday,1983-04-03,30,30
Easter Monday,1983-04-04,1583,1583
Earth Day,1983-04-22,1970,1970
Daylight Saving Time Start,1983-04-24,1916,1916
ANZAC Day,1983-04-25,1915,1915
Cinco de Mayo,1983-05-05,1809,1809
Mother’s Day,1983-05-08,1907,1907
Europe Day,1983-05-09,1950,1950
Armed Forces Day,1983-05-21,1936,1950
Victoria Day,1983-05-23,1837,1845
Memorial Day,1983-05-30,1868,1868
Australian Queen’s Birthday,1983-06-13,1953,1953
Father’s Day,1983-06-19,1910,1910
Summer Solstice,1983-06-21,-10000,-10000
St. Jean-Baptiste Day,1983-06-24,1638,1638
Canada Day,1983-07-01,1867,1867
Independence Day,1983-07-04,1776,1776
Utah Pioneer Day,1983-07-24,1847,1847
Canada Civic Day,1983-08-01,1970,1970
Canadian Labour Day,1983-09-05,1884,1884
American Labor Day,1983-09-05,1882,1882
Grandparents Day,1983-09-12,1978,1978
Autumnal Equinox,1983-09-23,-10000,-10000
Canadian Thanksgiving,1983-10-10,1700,1700
Columbus Day,1983-10-10,1905,1905
Creationism Day,1983-10-23,-4004,-4004
Daylight Saving Time End,1983-10-30,1916,1916
Halloween,1983-10-31,-2000,-2000
Remembrance Day,1983-11-11,1918,1931
Veterans Day,1983-11-11,1918,1938
American Thanksgiving,1983-11-24,1621,1621
Black Friday,1983-11-25,1960,1960
St. Andrews Day,1983-11-30,732,732
Human Rights Day,1983-12-10,1950,1950
Winter Solstice,1983-12-22,-10000,-10000
Christmas Eve,1983-12-24,1,1
Christmas in UK and Canada,1983-12-25,1,1
Christmas in the USA,1983-12-25,1,1
Boxing Day in UK and Canada,1983-12-26,1,1
New Year’s Eve,1983-12-31,-154,-154
New Year’s Day,1984-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1984-01-25,1759,1759
Australia Day,1984-01-26,1804,1804
Groundhog Day,1984-02-02,1841,1841
Valentine’s Day,1984-02-14,200,200
Presidents Day,1984-02-20,1971,1971
Alberta Family Day,1984-02-20,1900,1900
Mardi Gras,1984-03-06,1583,1583
Ash Wednesday,1984-03-07,1583,1583
Commonwealth Day,1984-03-12,1976,1976
St. Patrick’s day,1984-03-17,400,400
Vernal Equinox,1984-03-20,-10000,-10000
April Fools’ Day,1984-04-01,1564,1564
Palm Sunday,1984-04-15,1583,1583
Good Friday,1984-04-20,1583,1583
Earth Day,1984-04-22,1970,1970
Easter Sunday,1984-04-22,30,30
Easter Monday,1984-04-23,1583,1583
ANZAC Day,1984-04-25,1915,1915
Daylight Saving Time Start,1984-04-29,1916,1916
Cinco de Mayo,1984-05-05,1809,1809
Europe Day,1984-05-09,1950,1950
Mother’s Day,1984-05-13,1907,1907
Armed Forces Day,1984-05-19,1936,1950
Victoria Day,1984-05-21,1837,1845
Memorial Day,1984-05-28,1868,1868
Australian Queen’s Birthday,1984-06-11,1953,1953
Father’s Day,1984-06-17,1910,1910
Summer Solstice,1984-06-21,-10000,-10000
St. Jean-Baptiste Day,1984-06-24,1638,1638
Canada Day,1984-07-02,1867,1867
Independence Day,1984-07-04,1776,1776
Utah Pioneer Day,1984-07-24,1847,1847
Canada Civic Day,1984-08-06,1970,1970
Canadian Labour Day,1984-09-03,1884,1884
American Labor Day,1984-09-03,1882,1882
Grandparents Day,1984-09-10,1978,1978
Autumnal Equinox,1984-09-22,-10000,-10000
Canadian Thanksgiving,1984-10-08,1700,1700
Columbus Day,1984-10-08,1905,1905
Creationism Day,1984-10-23,-4004,-4004
Daylight Saving Time End,1984-10-28,1916,1916
Halloween,1984-10-31,-2000,-2000
General Election Day,1984-11-06,1789,1789
Remembrance Day,1984-11-11,1918,1931
Veterans Day,1984-11-11,1918,1938
American Thanksgiving,1984-11-22,1621,1621
Black Friday,1984-11-23,1960,1960
St. Andrews Day,1984-11-30,732,732
Human Rights Day,1984-12-10,1950,1950
Winter Solstice,1984-12-21,-10000,-10000
Christmas Eve,1984-12-24,1,1
Christmas in UK and Canada,1984-12-25,1,1
Christmas in the USA,1984-12-25,1,1
Boxing Day in UK and Canada,1984-12-26,1,1
New Year’s Eve,1984-12-31,-154,-154
New Year’s Day,1985-01-01,-153,-153
US Congressional Start Day,1985-01-03,1789,1789
US Presidential Inauguration Day,1985-01-21,1789,1789
Robbie Burns Day aka Burns Nicht,1985-01-25,1759,1759
Australia Day,1985-01-26,1804,1804
Groundhog Day,1985-02-02,1841,1841
Valentine’s Day,1985-02-14,200,200
Presidents Day,1985-02-18,1971,1971
Alberta Family Day,1985-02-18,1900,1900
Mardi Gras,1985-02-19,1583,1583
Ash Wednesday,1985-02-20,1583,1583
Commonwealth Day,1985-03-11,1976,1976
St. Patrick’s day,1985-03-17,400,400
Vernal Equinox,1985-03-20,-10000,-10000
Palm Sunday,1985-03-31,1583,1583
April Fools’ Day,1985-04-01,1564,1564
Good Friday,1985-04-05,1583,1583
Easter Sunday,1985-04-07,30,30
Easter Monday,1985-04-08,1583,1583
Earth Day,1985-04-22,1970,1970
ANZAC Day,1985-04-25,1915,1915
Daylight Saving Time Start,1985-04-28,1916,1916
Cinco de Mayo,1985-05-05,1809,1809
